,clube_mandante,clube_visitante,placar_mandante,placar_visitante,posse_de_bola_mandante,posse_de_bola_visitante,tentativas_de_gol_mandante,tentativas_de_gol_visitante,finalizacoes_mandante,finalizacoes_visitante,chutes_fora_mandante,chutes_fora_visitante,chutes_bloqueados_mandante,chutes_bloqueados_visitante,faltas_cobradas_mandante,faltas_cobradas_visitante,escanteios_mandante,escanteios_visitante,impedimentos_mandante,impedimentos_visitante,laterais_cobrados_mandante,laterais_cobrados_visitante,defesas_de_goleiro_mandante,defesas_de_goleiro_visitante,faltas_mandante,faltas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,total_de_passes_mandante,total_de_passes_visitante,passes_completados_mandante,passes_completados_visitante,desarmes_mandante,desarmes_visitante,ataques_mandante,ataques_visitante,ataques_perigosos_mandante,ataques_perigosos_visitante,urls
82,Botafogo,Goiás,1,2,62%,38%,16,11,5,4,5,5,6,2,20,10,9,2,1,1,23,19,2,4,11,22,2,2,0,0,467,283,397,200,14,28,124,100,70,29,https://www.flashscore.com.br/jogo/MFOE3AIs/#/resumo-de-jogo/estatisticas-de-jogo/0
83,Red Bull Bragantino,Internacional,0,2,49%,51%,8,9,2,5,3,3,3,1,13,21,7,3,2,1,17,20,3,2,20,12,3,3,0,0,433,477,358,395,14,16,98,111,57,33,https://www.flashscore.com.br/jogo/2RBtMIY8/#/resumo-de-jogo/estatisticas-de-jogo/0
84,Flamengo,Fortaleza,1,2,66%,34%,10,12,3,6,4,5,3,1,32,14,9,3,2,5,19,26,4,2,9,21,3,4,0,0,527,279,461,210,18,14,134,65,64,43,https://www.flashscore.com.br/jogo/4tgwNbJ2/#/resumo-de-jogo/estatisticas-de-jogo/0
85,Palmeiras,Atlético-MG,0,0,50%,50%,16,11,3,3,10,5,3,3,30,13,6,2,0,4,25,14,3,3,8,19,1,3,0,0,367,377,288,310,21,22,99,102,30,36,https://www.flashscore.com.br/jogo/pj1oLxlF/#/resumo-de-jogo/estatisticas-de-jogo/0
86,Juventude,Fluminense,1,0,49%,51%,11,5,3,1,3,4,5,0,15,36,5,7,5,1,20,33,1,2,21,10,3,4,0,1,251,258,102,102,21,12,92,103,67,66,https://www.flashscore.com.br/jogo/jkTI2UXm/#/resumo-de-jogo/estatisticas-de-jogo/0
87,Atlético-GO,Corinthians,0,1,56%,44%,14,10,3,1,4,6,7,3,15,17,9,0,3,0,16,20,0,3,9,11,3,3,0,0,525,432,449,361,11,7,115,108,74,31,https://www.flashscore.com.br/jogo/C4HR0820/#/resumo-de-jogo/estatisticas-de-jogo/0
88,Athletico-PR,Santos,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.flashscore.com.br/jogo/KUKZbnXC/#/resumo-de-jogo/estatisticas-de-jogo/0
89,Avaí,São Paulo,1,1,53%,47%,17,16,6,4,8,5,3,7,29,13,4,7,1,2,20,19,3,5,11,23,2,2,0,0,444,386,345,287,13,23,134,106,49,38,https://www.flashscore.com.br/jogo/Q7LVaSH6/#/resumo-de-jogo/estatisticas-de-jogo/0
90,Ceará,Coritiba,1,1,51%,49%,22,14,10,6,6,4,6,4,14,24,5,6,4,1,19,10,5,9,14,9,1,4,0,0,423,419,360,337,12,20,106,83,55,38,https://www.flashscore.com.br/jogo/UuSM1lmf/#/resumo-de-jogo/estatisticas-de-jogo/0
91,Internacional,Atlético-GO,1,1,44%,56%,10,20,5,7,5,11,0,2,22,10,3,12,0,0,13,14,6,4,7,16,1,2,0,0,428,524,356,443,18,16,97,134,47,75,https://www.flashscore.com.br/jogo/pxMC6wZL/#/resumo-de-jogo/estatisticas-de-jogo/0
92,Atlético-MG,Avaí,2,1,62%,38%,27,5,7,1,13,2,7,2,17,23,13,0,2,0,25,21,0,5,14,10,3,2,0,1,497,321,414,241,17,15,130,88,72,21,https://www.flashscore.com.br/jogo/z1eDoxcd/#/resumo-de-jogo/estatisticas-de-jogo/0
93,Corinthians,América-MG,1,1,63%,37%,7,13,4,5,1,3,2,5,23,17,6,5,0,1,28,27,4,3,13,19,2,1,0,0,541,316,442,220,28,15,107,109,47,46,https://www.flashscore.com.br/jogo/OMX38a49/#/resumo-de-jogo/estatisticas-de-jogo/0
94,Cuiabá,Athletico-PR,0,1,58%,42%,10,19,0,8,6,4,4,7,28,14,8,8,0,4,17,13,7,0,9,17,5,0,0,0,460,331,400,261,11,18,86,92,60,34,https://www.flashscore.com.br/jogo/fBBn0yCk/#/resumo-de-jogo/estatisticas-de-jogo/0
95,Fluminense,Flamengo,1,2,62%,38%,17,7,6,3,7,3,4,1,24,15,12,2,2,4,23,17,1,5,9,16,3,5,1,1,509,306,440,235,13,23,122,76,43,33,https://www.flashscore.com.br/jogo/x6ZeALZd/#/resumo-de-jogo/estatisticas-de-jogo/0
96,Coritiba,Botafogo,1,0,28%,72%,15,18,5,3,8,8,2,7,16,13,5,9,3,4,16,35,3,4,10,12,0,0,0,0,191,485,114,405,20,21,69,145,38,65,https://www.flashscore.com.br/jogo/Cn6iaeRe/#/resumo-de-jogo/estatisticas-de-jogo/0
97,Santos,Palmeiras,0,1,44%,56%,18,17,4,4,7,9,7,4,17,20,3,4,1,2,9,6,3,4,19,15,5,1,0,0,384,476,309,415,14,16,100,128,43,37,https://www.flashscore.com.br/jogo/2DW77JJF/#/resumo-de-jogo/estatisticas-de-jogo/0
98,Fortaleza,Juventude,1,1,62%,38%,14,16,3,8,5,5,6,3,16,10,8,7,1,0,29,14,7,2,10,16,2,3,0,0,553,334,468,257,15,15,150,81,72,41,https://www.flashscore.com.br/jogo/buQG5clS/#/resumo-de-jogo/estatisticas-de-jogo/0
99,São Paulo,Ceará,2,2,51%,49%,15,7,5,4,7,2,3,1,17,29,8,3,2,3,21,27,2,3,19,10,4,5,1,0,371,353,302,287,17,12,92,88,47,40,https://www.flashscore.com.br/jogo/GdYa9uk3/#/resumo-de-jogo/estatisticas-de-jogo/0
100,Athletico-PR,Avaí,2,1,42%,58%,12,9,3,4,5,3,4,2,16,22,5,4,1,0,22,25,3,1,23,17,2,6,0,0,344,462,254,375,18,16,123,117,32,22,https://www.flashscore.com.br/jogo/Mci9nIsj/#/resumo-de-jogo/estatisticas-de-jogo/0
101,Corinthians,São Paulo,1,1,55%,45%,13,14,5,7,8,4,0,3,13,12,8,8,2,2,13,11,6,4,11,12,2,3,0,0,515,415,417,311,19,17,121,130,42,35,https://www.flashscore.com.br/jogo/O29MeMK3/#/resumo-de-jogo/estatisticas-de-jogo/0
102,Fortaleza,Fluminense,0,1,63%,37%,23,7,8,3,7,4,8,0,18,13,12,5,0,3,18,13,2,8,13,14,1,1,0,0,485,292,413,214,12,19,156,51,77,20,https://www.flashscore.com.br/jogo/8jBYhK4M/#/resumo-de-jogo/estatisticas-de-jogo/0
103,América-MG,Botafogo,1,1,41%,59%,12,8,4,5,5,2,3,1,10,23,3,5,3,1,20,16,4,3,19,9,2,1,0,0,374,516,278,427,23,29,99,128,41,48,https://www.flashscore.com.br/jogo/EXRVYbDj/#/resumo-de-jogo/estatisticas-de-jogo/0
104,Cuiabá,Internacional,1,1,42%,58%,11,14,3,4,4,6,4,4,13,10,4,11,2,1,16,20,3,2,9,12,3,7,2,0,316,425,246,357,20,10,65,111,31,50,https://www.flashscore.com.br/jogo/Szh5mbSq/#/resumo-de-jogo/estatisticas-de-jogo/0
105,Juventude,Palmeiras,0,3,45%,55%,13,20,3,8,7,5,3,7,8,21,7,7,1,2,17,22,5,3,20,6,3,0,0,0,381,465,301,388,19,19,108,116,35,32,https://www.flashscore.com.br/jogo/UaCUg0kG/#/resumo-de-jogo/estatisticas-de-jogo/0
106,Santos,Ceará,0,0,51%,49%,16,11,3,4,11,6,2,1,12,13,6,2,2,1,23,15,4,3,9,13,1,4,0,1,382,389,308,312,17,8,117,109,60,41,https://www.flashscore.com.br/jogo/zwDQftzA/#/resumo-de-jogo/estatisticas-de-jogo/0
107,Atlético-GO,Coritiba,2,0,57%,43%,17,14,3,6,7,6,7,2,14,15,3,5,1,1,10,21,6,1,14,13,4,1,0,2,499,355,426,291,9,16,114,92,61,45,https://www.flashscore.com.br/jogo/QR5whvKS/#/resumo-de-jogo/estatisticas-de-jogo/0
108,Goiás,Santos,1,0,32%,68%,10,16,5,3,3,9,2,4,12,14,5,9,0,2,18,28,3,4,14,11,0,0,0,0,243,509,176,448,14,13,77,117,32,64,https://www.flashscore.com.br/jogo/Gdneu1zN/#/resumo-de-jogo/estatisticas-de-jogo/0
109,Avaí,Juventude,1,2,64%,36%,17,5,5,3,8,1,4,1,15,17,6,6,0,0,25,17,1,4,18,16,2,5,0,2,545,299,461,236,10,14,132,80,71,37,https://www.flashscore.com.br/jogo/UajavLkT/#/resumo-de-jogo/estatisticas-de-jogo/0
110,Botafogo,Fortaleza,3,1,62%,38%,13,10,6,3,4,3,3,4,17,17,5,1,3,2,20,19,2,3,14,15,3,2,0,1,509,304,429,222,7,21,137,78,48,30,https://www.flashscore.com.br/jogo/GMHjr3j4/#/resumo-de-jogo/estatisticas-de-jogo/0
111,Coritiba,América-MG,1,0,58%,42%,17,9,7,2,6,4,4,3,24,15,7,4,4,1,25,25,2,6,11,23,1,6,0,1,407,292,347,234,25,15,117,86,44,41,https://www.flashscore.com.br/jogo/zsTRZvbp/#/resumo-de-jogo/estatisticas-de-jogo/0
112,São Paulo,Cuiabá,2,1,73%,27%,21,6,9,3,9,2,3,1,14,6,15,3,1,0,31,16,2,7,5,15,2,1,0,1,591,214,527,158,12,14,133,70,76,25,https://www.flashscore.com.br/jogo/r9JrpPLi/#/resumo-de-jogo/estatisticas-de-jogo/0
113,Fluminense,Athletico-PR,2,1,63%,37%,11,12,6,3,3,3,2,6,13,12,4,5,1,1,24,26,2,4,12,12,3,2,0,0,523,289,453,221,20,29,97,87,46,36,https://www.flashscore.com.br/jogo/U5Fvo56o/#/resumo-de-jogo/estatisticas-de-jogo/0
